Type,Producer,Color,Season,Price
T-Shirt,BrandA,Red,Summer,19.99
Jeans,BrandB,Blue,Winter,49.99
Sweater,BrandA,Green,Fall,39.99
Shorts,BrandA,Black,Summer,29.99
Jacket,BrandD,Brown,Winter,99.99
Dress,BrandE,Red,Summer,59.99
Skirt,BrandB,White,Summer,34.99
Blouse,BrandG,Black,Spring,24.99
Coat,BrandH,Gray,Winter,129.99
Hoodie,BrandI,Black,Fall,44.99
Pants,BrandB,Blue,All,39.99
Shirt,BrandK,White,All,29.99
Socks,BrandL,Black,All,9.99
Hat,BrandM,Red,Winter,19.99
Gloves,BrandN,Blue,Winter,14.99
Scarf,BrandO,Green,Winter,19.99
Belt,BrandP,Brown,All,24.99
Tie,BrandQ,Black,All,19.99
Swimsuit,BrandR,Blue,Summer,29.99
Sunglasses,BrandS,Black,Summer,49.99
